	HC25_FB_2_ZT10	HC25_FB_2_ZT12	HC25_FB_2_ZT14	HC25_FB_2_ZT16	HC25_FB_2_ZT18	HC25_FB_2_ZT2	HC25_FB_2_ZT20	HC25_FB_2_ZT22	HC25_FB_2_ZT24	HC25_FB_2_ZT4	HC25_FB_2_ZT6	HC25_FB_2_ZT8	HC25_FB_ZT10	HC25_FB_ZT12	HC25_FB_ZT14	HC25_FB_ZT16	HC25_FB_ZT18	HC25_FB_ZT2	HC25_FB_ZT20	HC25_FB_ZT22	HC25_FB_ZT24	HC25_FB_ZT4	HC25_FB_ZT6	HC25_FB_ZT8
FBgn0000008	3.873898	4.469003	4.293392	3.66194	4.597366	3.858001	3.0419137	3.467615	4.17302	3.911289117	4.700145	5.2721	3.785744	3.69777226	3.99244	4.122804192	2.716747	4.4524687	3.243478	3.96566	4.16082	5.35437	4.802472951	2.65331
FBgn0000014	3.287989513	4.055732	3.974257	3.242971028	4.074850002	3.34785607	3.283266	3.378475364	3.70085602	3.633698002	3.76583112	3.427881	4.8640874	5.121148	3.9111057	5.228968	7.471777	3.405294	3.746759704	4.48596032	5.036815	3.084442	5.8294256	3.657109295
FBgn0000015	0.2579814	0.4605248	0.2628107	0.221074	0.655884261	0.4047266	0.2192404	0.7762978	0.326244368	0.2610814	0.26768	0.428026	0.810409	1.366339	1.281936	2.5416646	2.5801351	0.638331	0.1605345	0.6956736	1.1135121	0.660310902	1.21758154	0.8842047
FBgn0000017	4.1934093	2.5750275	5.321662004	2.640322	2.601238734	2.89498189	2.217716519	2.51253	2.996707304	2.982998291	2.7238553	2.841279805	2.747991257	3.4660043	3.056462568	4.021063	2.849243	5.24324445	3.10538374	2.521549136	4.556973747	10.01911134	3.898300629	2.574809
FBgn0000018	8.19662	8.58049	9.75111	7.14213	9.23063	8.40593	6.56999	9.01131	9.75178	8.51129	7.50002	8.18907	10.1737	8.14103	9.05486	9.14513	9.77245	8.8815	8.8379	9.54333	8.85789	11.6083	10.6748	9.42416
FBgn0000022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000024	0.3968913	0.378217	0.7457913	0.534232	0.5745675	0.8122029	0.864637	0.608129	1.002529	0.283909621	0.7726677	0.5915155	1.553329	0.800257	1.042044	0.770965	0.973689	0.755969	0.894078	0.964313	1.2851671	0.968492	1.711442	0.713779
FBgn0000028	0.0211733	0.034310544	0.0608618	0.0249906	0.0241688	0.033412	0.0244753	0.0430857	0.0521306	0.0221348	0.0181554	0.0207363	0.194978	0	0.0860533	0.0577033	0.0293856	0.157169	0	0.056236914	0.0752061	0.0937336	0	0.0529533
FBgn0000032	20.86710042	13.445	31.0266	17.107665	17.24001	24.655241	13.68630689	24.64711	25.0693	21.55176205	21.29890098	20.2394	22.34130005	24.4968	23.94968	38.39587	20.0281	48.04297	32.0479	21.22731	40.78	73.9765	32.64350078	21.6923
FBgn0000036	0	0	0	0	0.0184993	0.00213119	0	0	0	0	0.0414866	0	0.0621836	0	0.0164668	0.0110419	0.0674772	0.0150376	0	0.0246625	0	0	0.023124	0
