	HC25_FB_2_ZT10	HC25_FB_2_ZT12	HC25_FB_2_ZT14	HC25_FB_2_ZT16	HC25_FB_2_ZT18	HC25_FB_2_ZT2	HC25_FB_2_ZT20	HC25_FB_2_ZT22	HC25_FB_2_ZT24	HC25_FB_2_ZT4	HC25_FB_2_ZT6	HC25_FB_2_ZT8	HC25_FB_ZT10	HC25_FB_ZT12	HC25_FB_ZT14	HC25_FB_ZT16	HC25_FB_ZT18	HC25_FB_ZT2	HC25_FB_ZT20	HC25_FB_ZT22	HC25_FB_ZT24	HC25_FB_ZT4	HC25_FB_ZT6	HC25_FB_ZT8
FBgn0000008	198.99975	246.99984	228.99951	161	209.0005	761.9994	173.99983	178	175.0003	199.9995839	284.9997	280	255.9996	142.999538	102	159.0000059	100	126.99976	126	136	183	188.9996	173.0003872	111
FBgn0000014	160.9999526	215	189.99994	132.9999011	168.9999001	627.000529	179.0001	166.9997174	136.000018	161.0000001	211.9996068	174.00004	294.0009	188.0002	95.000013	180.00017	251.0001	83.99999	131.999992	135.0000104	215.00039	98.00004	199.99959	141.0001117
FBgn0000015	9	21.00002	12.999987	9	21.99999499	64.99996	9.99999	32.999946	9.9999975	12.99997	15.99997	23.00003	42.00006	38.99999	26	68.00015	66.00002	12	5	16.00003	37.999987	16.00000132	33.000059	26.99999
FBgn0000017	416.16425	377.69536	683.5798003	300.66124	291.5646155	1469.789169	334.0775723	312.9823	328.3076537	357.0825018	412.43561	382.7838661	486.6121556	346.9272	192.9303579	381.5876	273.24683	316.347889	316.9356914	226.4050436	475.8693478	652.1325582	375.8704163	289.8404
FBgn0000018	149	168	185	110	147	581	129	161	144	148	159	152	241	113	81	122	128	87	122	114	136	143	136	137
FBgn0000022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000024	17.00004	26	40	25.00002	27	149	50	24.99995	36	16.99999413	41	36.99999	127.00004	34	26.999997	29.00004	43	24	38	37	62.99999	33.00004	67	28.99997
FBgn0000028	1	1.000000135	3	1	1	6	1	2	2	1	1	1	12	0	2	2	1	4	0	1.000000267	3	3	0	2
FBgn0000032	415.0000082	288	644	287.9996	298.9996	1862.9992	294.0001433	479.9997	405	410.0001433	494.000022	411.0000001	579.0000011	372	232.9999	559.0002	287	513.9997	484	274	685	997	455.0000106	345
FBgn0000036	0	0	0	0	2	1	0	0	0	0	2	0	10	0	1	1	6	1	0	2	0	0	2	0
FBgn0000037	6.000003504	5.999996898	0.999999745	0.999999985	6.000002951	6.999998231	3.000002274	0	1.00000019	5.999995417	9.999997181	3.000002892	18.99996821	6.000001768	3.000003069	6.999997061	9.000002309	3.000004122	6.000003504	4.999999953	7.999997415	6.999995564	0	8
FBgn0000038	3	6	14	0	2	18	1	7	1	4	5	11	78	2	7	5	4	6	5	2	23.00003	5	12	12.999986
FBgn0000039	1	1	1	0	0	3	0	0	1	0	0	0	6	0	0	0	1	2	0	0	0	1	0	1
FBgn0000042	7783.62184	10067.494	12687.581	5323.853	5546.368	36203.3227	5022.507	9377.93831	7679.98814	8006.3685	10085.521	8835.01457	13541.0899	8339.3379	5428.905	11593.86219	3909.278	9672.165	4658.824	5396.216	9884.926	15395.3224	8941.50981	7119.72125
FBgn0000043	794	637	1987	545	592.116	3820	492	1194	837	805	1078	974.235	1204	696	844	1139	287	1284.14	755	411	1181	1584	747	846
FBgn0000044	11971.2	23472.7	18403.3	12727.5	12089.5	68868.6	21034.9	14289.7	17254.1	14591.9	17050.1	16375	19833.6	15801.8	8709.72	11459.9	15433.5	4992.66	9767.65	7680.39	8162.47	6253.09	8139.32	8770.73
FBgn0000045	170.1164	644.345	634.548	231.1502	227.995	1566.625	598.303	319.079	349.2907	215.074	363.034	304.365	226.1198	189.0939	132.9924	71.1045	152.052	116.1554	158.0039	95.0132	110.0466	58.0195	126.0321	154
