	HC25_Jrk_FB_2_ZT10	HC25_Jrk_FB_2_ZT14	HC25_Jrk_FB_2_ZT18	HC25_Jrk_FB_2_ZT2	HC25_Jrk_FB_2_ZT22	HC25_Jrk_FB_2_ZT6	HC25_Jrk_FB_ZT10	HC25_Jrk_FB_ZT14	HC25_Jrk_FB_ZT18	HC25_Jrk_FB_ZT2	HC25_Jrk_FB_ZT22	HC25_Jrk_FB_ZT6
FBgn0000008	2.928705	2.821327	3.734521	2.26241	2.14908	2.831811446	3.366003	4.7657681	4.347737	2.005018846	1.949660131	3.172965
FBgn0000014	3.4244484	1.89902056	2.37654797	2.03733197	1.040889	2.25507	1.70774632	4.939808801	1.930901	1.466753073	0.830506	2.78661192
FBgn0000015	0.456024022	0.3907349	0.7249148	0.1562755	0.057478	0.145827	0.207317	0.2239364	0.2195187	0.3115551	0.0229303	0.1368229
FBgn0000017	1.948114177	1.459934238	2.044183575	1.293492593	0.44931639	1.150077392	2.992543753	2.334191921	1.9853	0.8804052	0.872531808	1.1832447
FBgn0000018	9.62683	6.70019	9.01947	7.87798	6.0693	7.94467	9.97892	9.78187	9.08913	9.15768	9.31266	8.14993
FBgn0000022	0	0	0	0	0	0	0	0	0	0.0506053	0.0919448	0
FBgn0000024	0.385762	0.462536	0.244656	0.3709949	0.106706	0.4156402	0.244695	0.677685	0.3383955	0.20618794	0.22136	0.4628718
FBgn0000028	0.0240604	0.0452432	0.0190744	0.0350542	0	0.0176754	0.0480103	0.019425	0	0.017536	0.0318612	0.0169549
FBgn0000032	22.7411	14.93450668	29.2622	18.58470003	11.9964262	17.7136	35.8765	19.9141	23.87090076	18.4396	22.26577	18.833
FBgn0000036	0	0	0	0.00335391	0	0	0	0	0	0	0	0
FBgn0000037	0.192818114	0.108772137	0.1375747	0.105345472	0.048002139	0.141649389	0.102599814	0.112210752	0.114171271	0.08431923	0.038299949	0.130589544
FBgn0000038	0	0	0.10488	0.0963718	0	0	0.0586628	0.0855437	0.116051	0.0482104	0.0583957	0
FBgn0000039	0	0	0	0.0171302	0	0	0	0	0	0.0171389	0.0311398	0
FBgn0000042	489.4655	248.8359	503.2923	250.5585308	233.77283	140.455	593.437227	402.8077	367.0025152	204.34962	251.10272	280.86026
FBgn0000043	48.5606	27.591	70.8462	42.5257	21.6851	19.6592	94.8068	48.523	62.1963	35.1633	50.7498	28.9056
FBgn0000044	774.688	646.519	643.702	541.614	449.908	497.308	441.202	600.815	327.68	404.384	365.047	372.584
FBgn0000045	15.22179	10.407199	11.58817	10.59476	13.29978	8.610207	5.32953	7.21936	8.2785	9.42014	12.38986	8.79193
FBgn0000046	175.15851	146.09463	142.52045	119.22418	103.9006	113.09152	89.79079	130.15189	84.98904	90.01458	81.64539	88.91261
FBgn0000047	0.292638	0.0683579	0.0576498	0.158091	0.180756	0.0539202	0.192981	0.141803	0.09548	0.132238	0.0961491	0.0827932
FBgn0000052	64.14487	60.43469	68.7853	64.39172	56.52629	59.49979	75.3271	82.48454	58.9617	63.44852	60.78575	78.0405
FBgn0000053	93.54996	112.54591	99.54268	83.50606	78.386245	90.31622	90.03824	123.06021	86.3471	79.26818	69.50228	64.746268
FBgn0000055	12670.699	11247.081	11056.24	11294.72	13392.862	12097.514	10543.724	12621.848	11229.263	10461.799	9221.695	13716.794
FBgn0000056	129.043	125.267	121.541	116.492	102.9190018	150.074	124.014	125.288	119.365	143.349	102.316	159.524
FBgn0000057	25.39053	22.9998	27.6771	23.76014	23.501	22.8494	25.52696	25.0687	24.9928	22.153091	22.5012	24.66437
FBgn0000061	0.186135	0.0583347	0.295125	0.0677961	0.102974	0	0.123805	0.0802382	0.0408202	0.0452204	0.082161	0.0700353
FBgn0000063	1.093960071	0.538758078	2.10619	1.53689007	0.518744044	0.382691051	4.19253	0.929557	2.43336	0.721376017	1.207200091	0.882027
FBgn0000064	676.7178	572.86712	635.81627	468.45087	548.3041	544.99189	449.82817	821.90064	657.6543	388.13111	339.38058	548.9646825
FBgn0000071	0	0	0	0.13683512	0	0	0.049976083	0.340090468	0.049433321	0.027381014	0.049748566	0
FBgn0000075	0.450287	0.411931	4.271891	1.00748	0	0.0472562	7.953294	0.166378	0.375996	0.0468833	0	0.0726107
FBgn0000077	15.76383	13.1538	15.230817	15.1078	13.49019	16.64701	18.54552	15.799355	16.20506	15.40272	15.72132	15.90329
FBgn0000078	83.5749	28.2866	25.772	23.5859	37.6126	18.4932	15.0829	30.379	34.943	23.3612	35.3122	15.8719
FBgn0000079	41.185077	5.19799283	3.511286819	2.74926	4.19003	2.93012	1.48988	6.01360775	5.91735	8.04785	14.17380003	1.76812
FBgn0000083	160.60913	127.6110601	133.2295242	122.180551	125.1622	112.608589	138.0037903	162.993362	115.6147972	109.07525	105.2207643	127.55026
FBgn0000084	55.0007	59.2873	62.5408	44.5396	66.6788	35.9774	56.8535	73.9203	61.2406	39.7525	48.8375	49.1524
FBgn0000092	0.857427	0.806151	0.291318	0.267686	0.203291	0.539905	0.651776	0.554422	0.564111	0.357097	0.486607	0.553055
FBgn0000094	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0000097	3.623962311	2.119269446	3.87012	3.056327834	1.886309345	2.97538	4.421406	7.212936811	3.371263	2.215177003	1.931329	3.728116
FBgn0000100	1553.135	1763.352	2124.194	1832.206	2246.32	1459.803	2312.421	1934.972	1984.659	2055.524	2412.075	1918.404
FBgn0000108	0.118416	0.0765059	0.2322376	0.1363381	0.0810309	0.01195565	0.0787628	0.3455238	0.0856569	0.0889826	0.10108658	0.0734159
FBgn0000109	64.0255	55.65056	56.04475	60.12192	58.526496	60.99842	55.11735	47.22148	45.63336	59.4841	51.99616	56.36745
FBgn0000114	13.830621	6.5414848	33.431143	14.5247731	3.604033644	7.195803	46.9903452	36.490762	27.2935575	11.1772994	16.292826	13.2816774
FBgn0000115	52.1056	47.2955	47.3789	39.2695	43.3635	39.1607	59.1271	52.8199	50.2852	43.8313	45.9331	53.9004
FBgn0000116	251.4824012	189.2130272	182.839069	173.34779	172.225078	153.6612	158.0634356	188.24816	140.367389	126.824924	133.1672598	155.98689
FBgn0000117	52.09691332	40.86588	64.22755547	54.05740607	40.33260989	38.06478111	80.66465004	65.54616685	56.76826786	45.25167814	48.297018	52.01696878
FBgn0000119	4.99816	4.26474	4.62731	4.66342	2.94028	5.34421	4.45158	5.91034	4.65098	4.17302	2.67466	4.74338
FBgn0000120	0.25853	0.486139	0.136637	4.7011131	5.578197	1.7185755	0.4012339	0.891567	1.37989	1.1933568	2.1682114	0.0972745
FBgn0000121	0.443797	0.695429	0.0586382	8.08222	8.96141	2.1735	0.836358	1.29134	1.70321	2.1294	3.72199	0.208729
FBgn0000137	0.0893828	0.0840375	0.03543	0.0813897	0.148345	0.065663	0.148629	0.173388	0.029403	0.13029	0.059181	0.126117
FBgn0000139	32.73942	34.27946	33.4758	37.94224	31.18177	41.54313	36.19043	36.08471	34.87185	40.69676	38.24266	42.205
FBgn0000140	2.82602	0.381755	3.7726	2.85725	0.552586	0.4176	6.2116	1.29174	3.38729	1.02393	1.6453	1.38415
FBgn0000146	6.34082	5.211958745	16.7058	9.73592	3.15079	3.12402	23.8402	8.56836	12.945747	9.314373	16.219215	4.757300011
FBgn0000147	3.25602	0.884376	5.79352	3.84772	1.44104	1.1694	9.86592	1.96502	5.33162	2.34672	3.97631	1.47013
FBgn0000150	1158.8575	1361.3879	1789.0283	1182.5251	1854.3323	779.6265	1473.0002	1477.3996	1580.759	1104.9927	1467.5151	1217.3743
FBgn0000152	5.59845	4.70831	5.0024	4.74916	3.50166	4.25986	6.41415	3.95399	4.26219	4.13299	4.81003	4.03627
FBgn0000153	3.32901	3.078618	2.939660053	2.6437	3.034242	2.605943	2.395734	3.63468	2.369714	1.829655	1.987358	2.648884
FBgn0000157	0.309968	0.194288	0.300341	0.200711	0.142901	0.227711	0.160355	0.579018	0.3662836	0.2968088	0.182429	0.1428256
FBgn0000158	0.741949	0.536599	2.0813	1.64223	0.47361	0.167709	3.56835	1.03331	1.53951	0.894325	1.54933	0.547594
FBgn0000163	4.171009901	2.386814	3.344972102	2.3673929	1.5612944	2.223439603	3.04157	4.800195408	3.161394401	1.6151423	1.209946817	2.637923301
FBgn0000166	5.678929917	0.611368794	6.422342912	3.007431001	1.07921	0.515022855	9.844119	2.112848	6.346281345	1.87350068	2.939797851	1.47402939
FBgn0000173	50.67840635	30.24826	57.0340099	40.9543838	26.97604026	39.32186153	60.10478659	63.63637	54.22607017	32.46513	34.25685	51.072177
FBgn0000179	0	0	0.0456746	0.0260082	0	0	0.012773531	0.06700092	0.0170429	0.00944	0.0171516	0.04386213
FBgn0000180	0.42125	0.45699	0.488086	0.460568	0.242008	0.476094	0.495716	0.565722	0.511652	0.519572	0.386186	0.45721
FBgn0000181	444.536	449.053	604.931	475.887	489.366	395.034	694.602	575.788	583.57	470.988	557.297	518.72
FBgn0000182	7.72291	2.103574	17.30781	9.05319	2.584691	1.360908	25.2931	5.91788	15.63716	3.73459	6.32823	3.485643
FBgn0000183	13.826386	8.496279	16.45474	12.090544	5.278582	9.2993	19.27664	14.262766	14.763694	9.099017	10.173884	9.586789
FBgn0000206	0.0354323	0.0333134	0	0.167772	0.0882086	0.052059	0.0235673	0.114555	0.0466226	0.0903845	0.0938399	0.0199976
FBgn0000212	10.38622472	8.091639049	9.135917332	9.340789621	6.409531483	7.084637724	12.08357952	12.4454581	9.078446051	7.159836	7.214392762	10.22578385
FBgn0000216	0	0	0	0	0	0	0	0.387216	0	0	0	0
FBgn0000221	5.10089	3.82169	4.80205	3.1352	3.83605	2.92754	5.40724	3.60751	5.29608	3.83386	4.69661	3.95848
FBgn0000227	0	0	0	0.0314971	0	0	0	0	0	0	0	0
FBgn0000228	6.81638689	4.571782559	8.487322226	5.546907863	2.867852678	5.55410316	9.396393758	9.260834	7.356523198	4.288357345	3.8408099	5.54403222
FBgn0000229	20.336904	16.551633	15.34015	20.56226484	12.756845	20.253367	18.088869	19.818343	17.3815	17.0889134	14.423093	17.515362
FBgn0000233	0	0	0.057802	0.0265566	0.0302521	0	0	0	0.0239846	0.0265701	0	0
FBgn0000239	52.0926	44.6629	54.0446	55.584	35.06386	51.6451	66.1474	68.8154	54.7536	51.8797	42.0745	58.96687
