	HC25_Jrk_FB_2_ZT10	HC25_Jrk_FB_2_ZT14	HC25_Jrk_FB_2_ZT18	HC25_Jrk_FB_2_ZT2	HC25_Jrk_FB_2_ZT22	HC25_Jrk_FB_2_ZT6	HC25_Jrk_FB_ZT10	HC25_Jrk_FB_ZT14	HC25_Jrk_FB_ZT18	HC25_Jrk_FB_ZT2	HC25_Jrk_FB_ZT22	HC25_Jrk_FB_ZT6
FBgn0000008	131.9997	136	220.9997	281.0002	116	172.9995686	229.0003	343.000258	302.0003	252.9998046	135.9999774	257.9998
FBgn0000014	136.00004	79.999981	119.9999487	227.999733	48	127.0001	103.000033	328.9997778	119.0001	169.0000088	49	201.000369
FBgn0000015	14.00001063	12.9999963	32	14	2	7	9	14.99997	11	27.00001	1	9.00001
FBgn0000017	239.2124333	189.9788312	302.5323517	416.6241921	66.856926	187.2972053	343.6695004	414.1504514	354.50655	290.744842	156.1421305	249.76228
FBgn0000018	154	114	182	346	117	173	240	242	221	402	225	231
FBgn0000022	0	0	0	0	0	0	0	0	0	1	1	0
FBgn0000024	20.00002	18.00001	20.00003	40	5	26.00004	13	47.99995	21.99997	29.00008469	19	39.99994
FBgn0000028	1	2	1	4	0	1	3	1	0	2	2	1
FBgn0000032	398	278.0001205	646	893.0000015	253.000472	422	944	539	635.0000196	883.9997	586.9998	584
FBgn0000036	0	0	0	1	0	0	0	0	0	0	0	0
FBgn0000037	9.999998404	6.000003373	8.999996296	14.99996796	3.000001422	9.999999125	8.000004177	9.000000956	9.00000129	12.00003307	2.999999684	11.99995049
FBgn0000038	0	0	3	6	0	0	2	3	4	3	2	0
FBgn0000039	0	0	0	1	0	0	0	0	0	1	1	0
FBgn0000042	8766.537	4776.258	11375.388	12320.69265	4805.391	3485.884	15936.7471	10863.561	10055.86133	10055.169	6795.152	8774.575
FBgn0000043	695	420	1279	1671	374	383	2040	1074	1353	1381	1097	733
FBgn0000044	11848.8	10517.4	12418.9	22743.7	8292.4	10353.9	10145.5	14211.6	7617.79	16972.4	8432.7	10097
FBgn0000045	206.0255	149.9997	199.0354	398.095	221.0381	158.9872	110.0077	153.0657	173.054	350.9995	254.9997	209.981
FBgn0000046	2442.5643	2157.3242	2506.6168	4591.469	1752.126	2147.161	1886.674	2805.689	1812.267	3477.341	1724.1104	2202.429
FBgn0000047	4.09725	1.01796	1.01815	6.07705	3.04976	1.02765	4.06225	3.07045	2.03192	5.08068	2.0332	2.05389
FBgn0000052	2630.003	2629.9985	3561.002	7243.001	2792.002	3317	4650	5234.005	3681.004	7143.01	3768.999	5675
FBgn0000053	3833.0036	4961.9981	5051.996	9609.998	3854.0039	5210.9998	5414.003	7688.996	5229.995	8966.997	3948.002	4800.0043
FBgn0000055	111810.45	105654.51	123476.89	274553.43	141817.35	146324.34	141108.05	173343.75	151328.26	256503.03	123490.37	216454.46
FBgn0000056	2434.45	2513.52	2892.29	6033.73	2339.76004	3853.94	3517.45	3655.35	3422.76	7421.03	2915.27	5332.26
FBgn0000057	521	501	715	1338	580	637	790	794	778	1246	696	899
FBgn0000061	3	1	6	3	2	0	3	2	1	2	2	2
FBgn0000063	21.00000137	11.00000162	51	81.00000374	12.00000104	10.00000135	121	28	71	38.00000089	35.00000269	30
FBgn0000064	12040.001	10682.0003	13697.997	21720.975	9559.9971	13050.0023	11513.993	21585.9811	17165.953	18073.044	8701.9993	16098.00256
FBgn0000071	0	0	0	5.00000442	0	0	0.999999689	6.999999758	1.000000478	0.999999503	1.000000345	0
FBgn0000075	7	7	83.99999	43	0	1	186.00039	4	9	2	0	2
FBgn0000077	162.9996	142	196.00021	434.9999	167.9996	235	286.9998	250.9996	255	440.9995	248.0005	291
