Stroke Number,Time (secs),Distance (meters),Stroke Rate (s/m),500m Split (secs),Power (Watts),Heart Rate (bpm),Peak Force (Newtons),Average Drive Force (Newtons),Drive Length (meters),Drive Time (secs),% of Stroke Complete When Peak Force Is Reached,Impulse (Average force x Time) (N•s),Work Per Stroke (Joules),Stroke Speeed (m/s),Force Curve Data Points (Newtons)
1,2,13,0,127,240,0,1048.79,658.34,1.42,0.6900000000000001,8.11, 454.25,546,2.06,53.379 53.379 164.584 360.306 458.167 458.167 533.786 600.51 707.267 707.267 738.405 773.99 805.128 809.576 836.265 862.955 885.196 938.574 965.264 991.953 1009.746 1040.883 1005.298 1031.987 974.16 907.437 867.403 809.576 720.612 716.163 662.785 644.992 533.786 484.856 338.065 302.479 244.652 160.136 88.964 
2,5,24,26,113,295,0,1008.45,658.34,1.48,0.64,53.85, 421.34,682,2.31,204.618 289.134 386.995 471.511 471.511 542.683 609.406 631.647 747.301 791.783 871.851 916.333 902.989 907.437 916.333 916.333 1000.85 1000.85 974.16 978.608 925.23 938.574 911.885 889.644 778.439 756.197 716.163 618.303 596.061 560.476 511.545 431.477 293.583 222.411 106.757 80.068 
3,7,35,26,106,345,0,963.63,631.65,1.39,0.58,44.44, 366.36,734,2.40,160.136 302.479 302.479 404.788 458.167 480.408 502.649 556.028 760.646 845.162 845.162 862.955 858.506 885.196 916.333 956.367 934.126 907.437 862.955 871.851 885.196 818.472 773.99 725.06 613.854 551.579 547.131 551.579 462.615 378.099 338.065 266.893 
4,9,46,27,101,341,0,936.74,609.41,1.39,0.59,46.88, 359.55,758,2.36,209.066 302.479 386.995 449.27 498.201 498.201 542.683 596.061 711.715 822.921 845.162 889.644 885.196 854.058 911.885 929.678 925.23 889.644 858.506 836.265 782.887 751.749 733.956 671.681 582.717 551.579 515.994 453.718 422.581 355.858 289.134 231.307 93.413 
5,11,56,27,101,340,0,932.26,591.61,1.48,0.63,45.45, 372.72,732,2.35,160.136 160.136 231.307 338.065 400.34 467.063 489.304 551.579 676.129 725.06 796.231 818.472 854.058 849.61 840.714 867.403 902.989 898.54 925.23 867.403 831.817 805.128 778.439 756.197 685.026 600.51 578.269 547.131 498.201 489.304 449.27 355.858 302.479 217.963 164.584 106.757 
6,14,67,26,102,334,0,1012.93,636.10,1.45,0.61,50.00, 388.02,758,2.38,164.584 289.134 404.788 502.649 502.649 515.994 529.338 556.028 702.819 800.68 827.369 871.851 871.851 894.092 876.299 907.437 1005.298 943.023 947.471 907.437 871.851 871.851 867.403 814.024 658.337 627.199 596.061 547.131 564.924 475.96 409.236 351.409 240.204 182.377 
7,16,79,26,102,345,0,1030.86,689.47,1.42,0.59,47.06, 406.79,781,2.41,200.17 329.168 449.27 582.717 622.751 676.129 711.715 769.542 871.851 960.816 947.471 951.919 943.023 947.471 969.712 969.712 1000.85 1023.091 983.057 1014.194 943.023 876.299 840.714 760.646 622.751 587.165 533.786 511.545 484.856 351.409 280.238 262.445 186.825 
8,18,90,27,99,357,0,981.56,653.89,1.39,0.58,51.52, 379.26,799,2.40,213.515 355.858 453.718 511.545 511.545 533.786 604.958 653.888 814.024 840.714 885.196 889.644 876.299 960.816 974.16 956.367 965.264 947.471 916.333 916.333 889.644 760.646 733.956 693.922 604.958 560.476 538.235 484.856 413.684 355.858 257.997 213.515 
9,20,101,27,99,356,0,972.59,653.89,1.42,0.58,43.75, 379.26,776,2.45,266.893 369.202 480.408 551.579 587.165 622.751 676.129 733.956 898.54 925.23 876.299 925.23 898.54 934.126 925.23 951.919 956.367 916.333 965.264 889.644 822.921 787.335 733.956 689.474 560.476 524.89 498.201 489.304 404.788 315.824 302.479 226.859 
10,23,112,26,100,347,0,963.63,644.99,1.45,0.61,56.25, 393.45,808,2.38,186.825 186.825 293.583 418.133 489.304 573.82 600.51 636.095 738.405 809.576 920.782 885.196 907.437 858.506 898.54 925.23 956.367 956.367 916.333 929.678 929.678 867.403 827.369 778.439 631.647 640.544 578.269 569.372 489.304 427.029 382.547 342.513 257.997 137.895 
11,25,124,26,100,338,0,972.59,658.34,1.48,0.62,47.06, 408.17,816,2.39,137.895 271.341 400.34 484.856 542.683 573.82 573.82 676.129 827.369 858.506 885.196 894.092 916.333 934.126 920.782 925.23 943.023 965.264 938.574 943.023 934.126 902.989 862.955 809.576 720.612 662.785 618.303 547.131 538.235 515.994 458.167 404.788 226.859 182.377 137.895 
12,27,136,25,101,344,0,1008.45,667.23,1.45,0.61,48.57, 407.01,809,2.38,311.375 467.063 538.235 587.165 640.544 640.544 716.163 782.887 862.955 907.437 934.126 969.712 969.712 934.126 951.919 943.023 978.608 1000.85 934.126 911.885 827.369 778.439 738.405 698.371 636.095 533.786 569.372 533.786 475.96 346.961 275.79 231.307 169.032 
13,30,147,27,100,353,0,986.04,689.47,1.42,0.59,51.52, 406.79,797,2.41,204.618 204.618 369.202 471.511 515.994 573.82 644.992 733.956 902.989 898.54 929.678 947.471 965.264 943.023 943.023 916.333 943.023 974.16 978.608 934.126 907.437 880.748 822.921 800.68 698.371 622.751 551.579 538.235 484.856 458.167 431.477 293.583 217.963 
14,32,159,27,100,361,0,986.04,644.99,1.42,0.59,54.55, 380.55,810,2.41,137.895 302.479 444.822 533.786 551.579 591.613 667.233 751.749 902.989 902.989 925.23 920.782 925.23 965.264 978.608 956.367 960.816 965.264 947.471 871.851 854.058 769.542 702.819 702.819 560.476 551.579 511.545 444.822 360.306 329.168 289.134 257.997 
15,34,170,27,100,353,0,972.59,653.89,1.39,0.5700000000000001,43.75, 372.72,771,2.44,253.549 400.34 458.167 467.063 502.649 573.82 653.888 738.405 809.576 871.851 871.851 902.989 894.092 916.333 925.23 943.023 960.816 965.264 947.471 836.265 818.472 742.853 756.197 716.163 551.579 542.683 493.752 493.752 427.029 329.168 253.549 213.515 
16,36,181,27,100,343,0,932.26,649.44,1.42,0.59,53.12, 383.17,796,2.41,204.618 298.031 373.65 373.65 467.063 551.579 622.751 685.026 862.955 911.885 925.23 889.644 902.989 871.851 898.54 898.54 907.437 880.748 880.748 907.437 907.437 831.817 787.335 685.026 627.199 636.095 627.199 564.924 435.926 422.581 382.547 338.065 182.377 
17,39,193,27,100,351,0,1021.90,693.92,1.42,0.58,30.30, 402.47,779,2.45,266.893 400.34 507.097 533.786 600.51 649.44 720.612 809.576 902.989 911.885 934.126 943.023 956.367 969.712 960.816 960.816 965.264 1005.298 1014.194 929.678 889.644 858.506 822.921 782.887 644.992 578.269 524.89 498.201 431.477 386.995 324.72 262.445 
18,41,205,27,100,353,0,977.08,644.99,1.51,0.63,56.25, 406.34,849,2.40,173.481 173.481 315.824 395.892 489.304 533.786 622.751 658.337 782.887 818.472 867.403 907.437 898.54 902.989 911.885 934.126 965.264 969.712 965.264 911.885 925.23 925.23 925.23 827.369 711.715 622.751 600.51 596.061 502.649 449.27 449.27 378.099 289.134 244.652 200.17 124.55 
19,43,216,25,100,353,0,977.08,676.13,1.45,0.6,47.22, 405.68,812,2.42,240.204 418.133 511.545 511.545 542.683 560.476 596.061 680.578 840.714 911.885 894.092 902.989 894.092 907.437 969.712 947.471 943.023 956.367 960.816 951.919 956.367 858.506 809.576 729.508 685.026 618.303 578.269 493.752 467.063 395.892 382.547 369.202 217.963 
20,46,228,26,99,360,0,963.63,636.10,1.51,0.63,42.42, 400.74,834,2.40,200.17 298.031 391.443 391.443 467.063 538.235 591.613 627.199 787.335 827.369 871.851 902.989 862.955 827.369 858.506 956.367 907.437 947.471 916.333 907.437 894.092 929.678 845.162 796.231 685.026 636.095 627.199 560.476 520.442 462.615 435.926 333.617 306.927 244.652 200.17 
21,48,239,26,99,353,0,932.26,631.65,1.45,0.6,42.86, 378.99,806,2.42,222.411 333.617 449.27 524.89 578.269 578.269 636.095 653.888 787.335 827.369 871.851 902.989 880.748 858.506 854.058 849.61 889.644 911.885 880.748 867.403 840.714 778.439 769.542 716.163 618.303 600.51 524.89 458.167 462.615 422.581 409.236 298.031 182.377 164.584 
22,50,250,26,100,347,0,972.59,653.89,1.45,0.6,50.00, 392.33,787,2.42,257.997 386.995 480.408 493.752 538.235 600.51 725.06 769.542 831.817 876.299 862.955 889.644 854.058 902.989 889.644 898.54 965.264 947.471 965.264 920.782 885.196 827.369 791.783 769.542 653.888 560.476 520.442 467.063 471.511 418.133 391.443 302.479 200.17 
23,52,262,26,100,357,0,954.67,653.89,1.45,0.6,48.48, 392.33,796,2.42,204.618 404.788 484.856 484.856 560.476 596.061 676.129 725.06 854.058 867.403 889.644 871.851 920.782 920.782 889.644 907.437 894.092 929.678 943.023 947.471 840.714 791.783 756.197 671.681 649.44 564.924 511.545 489.304 449.27 373.65 333.617 333.617 200.17 
24,55,273,27,99,356,0,963.63,631.65,1.48,0.62,57.58, 391.62,801,2.39,155.688 257.997 364.754 364.754 431.477 498.201 564.924 649.44 738.405 796.231 836.265 871.851 920.782 934.126 880.748 880.748 889.644 880.748 938.574 951.919 956.367 885.196 894.092 773.99 707.267 658.337 613.854 524.89 484.856 431.477 404.788 391.443 257.997 182.377 155.688 
25,57,285,27,99,348,0,950.18,627.20,1.45,0.61,57.14, 382.59,805,2.38,253.549 369.202 467.063 515.994 551.579 587.165 649.44 649.44 765.094 836.265 894.092 867.403 849.61 862.955 871.851 929.678 943.023 916.333 898.54 876.299 871.851 827.369 756.197 702.819 631.647 569.372 511.545 458.167 449.27 378.099 364.754 280.238 164.584 137.895 
26,59,296,26,100,352,0,936.74,627.20,1.51,0.63,47.06, 395.14,780,2.40,200.17 391.443 453.718 511.545 511.545 564.924 653.888 769.542 885.196 876.299 880.748 827.369 822.921 831.817 894.092 929.678 902.989 894.092 885.196 858.506 854.058 809.576 814.024 720.612 631.647 596.061 573.82 524.89 498.201 431.477 373.65 360.306 289.134 155.688 93.413 93.413 
27,61,307,27,100,351,0,945.70,618.30,1.51,0.63,41.67, 389.53,809,2.40,133.447 133.447 257.997 373.65 453.718 529.338 596.061 649.44 791.783 840.714 862.955 885.196 862.955 880.748 871.851 894.092 938.574 929.678 911.885 858.506 889.644 862.955 871.851 800.68 644.992 582.717 578.269 524.89 462.615 453.718 413.684 355.858 257.997 226.859 169.032 124.55 
28,64,318,26,100,350,0,909.85,613.85,1.48,0.62,44.44, 380.59,782,2.39,177.929 177.929 320.272 400.34 462.615 489.304 529.338 609.406 805.128 822.921 854.058 845.162 840.714 849.61 836.265 862.955 849.61 867.403 858.506 902.989 902.989 880.748 814.024 791.783 649.44 631.647 609.406 564.924 484.856 404.788 378.099 324.72 298.031 137.895 124.55 
